method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned (LoRA),aeroplane,29.55289,37.895311,51.381316,27.47448,35.623515,48.574963
SAM vit-B/16 fine-tuned (LoRA),bicycle,16.295913,25.012933,38.929126,15.509552,23.547713,36.978954
SAM vit-B/16 fine-tuned (LoRA),bird,42.088316,56.968721,71.182153,41.149277,56.570316,71.020669
SAM vit-B/16 fine-tuned (LoRA),boat,18.487891,25.1329,39.249852,20.187503,26.568365,39.345295
SAM vit-B/16 fine-tuned (LoRA),bottle,23.839925,32.606665,47.072563,21.865079,30.724138,45.304415
SAM vit-B/16 fine-tuned (LoRA),bus,30.303707,36.757481,45.04243,26.859825,32.780795,40.58195
SAM vit-B/16 fine-tuned (LoRA),car,25.723831,32.182628,43.151448,22.049923,28.061735,39.509471
SAM vit-B/16 fine-tuned (LoRA),cat,47.644401,56.857051,69.748306,47.946109,57.146107,70.22541
SAM vit-B/16 fine-tuned (LoRA),chair,14.978094,18.154436,25.136911,12.892777,15.61986,21.936353
SAM vit-B/16 fine-tuned (LoRA),cow,29.675252,40.444196,57.596118,27.24511,37.524934,53.371898
SAM vit-B/16 fine-tuned (LoRA),dog,29.529363,40.795502,56.622241,27.583645,38.498274,53.911182
SAM vit-B/16 fine-tuned (LoRA),horse,22.427721,31.930272,47.236395,21.215085,30.815331,45.612989
SAM vit-B/16 fine-tuned (LoRA),motorbike,15.784832,24.897119,36.272781,14.413693,23.349048,34.735054
SAM vit-B/16 fine-tuned (LoRA),person,26.163873,38.058659,50.27933,23.102947,35.218227,48.123284
SAM vit-B/16 fine-tuned (LoRA),pottedplant,23.494243,36.868911,47.364925,18.488703,29.637241,39.687051
SAM vit-B/16 fine-tuned (LoRA),sheep,18.736842,28.842105,42.5,15.817873,24.172695,36.339843
SAM vit-B/16 fine-tuned (LoRA),train,44.145497,59.030023,74.872979,42.445271,57.133023,73.585223
SAM vit-B/16 fine-tuned (LoRA),tvmonitor,21.34495,33.964062,51.252382,19.38565,31.066122,47.74528
SAM vit-B/16 fine-tuned (LoRA),All,26.678752,36.46661,49.716181,24.757361,34.114302,47.032738
