method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned,aeroplane,35.114504,43.456925,57.197383,33.024286,40.991751,54.339028
SAM vit-B/16 fine-tuned,bicycle,22.452147,29.410243,41.231247,22.218171,28.449351,39.687734
SAM vit-B/16 fine-tuned,bird,46.25115,62.166513,76.862925,45.832342,62.136212,76.781506
SAM vit-B/16 fine-tuned,boat,20.673361,28.381571,43.177791,22.050886,29.482262,42.434145
SAM vit-B/16 fine-tuned,bottle,29.180941,38.290252,50.52943,27.202837,36.489372,48.828179
SAM vit-B/16 fine-tuned,bus,36.444841,41.156766,47.967843,33.184701,37.559473,44.639709
SAM vit-B/16 fine-tuned,car,31.765033,37.47216,46.464365,26.325142,31.497199,40.831367
SAM vit-B/16 fine-tuned,cat,50.629235,59.067441,69.990319,51.227159,59.654909,70.557061
SAM vit-B/16 fine-tuned,chair,22.672508,25.821468,32.803943,20.805707,23.96425,30.620396
SAM vit-B/16 fine-tuned,cow,38.017917,48.301605,63.475177,36.934302,47.273139,60.635951
SAM vit-B/16 fine-tuned,dog,33.465223,43.981674,56.476468,31.361863,41.597711,54.143192
SAM vit-B/16 fine-tuned,horse,29.230442,41.19898,55.590986,27.739392,39.48036,53.67557
SAM vit-B/16 fine-tuned,motorbike,21.105232,28.924162,38.918283,20.11543,27.850699,37.753471
SAM vit-B/16 fine-tuned,person,37.5,52.304469,65.409683,34.586262,49.059565,63.282623
SAM vit-B/16 fine-tuned,pottedplant,28.23295,40.389725,51.173605,23.583536,33.845938,44.967637
SAM vit-B/16 fine-tuned,sheep,24.684211,35.842105,49.763158,23.201656,32.282936,44.506623
SAM vit-B/16 fine-tuned,train,43.048499,55.681293,72.04388,40.747446,53.371654,69.887101
SAM vit-B/16 fine-tuned,tvmonitor,31.704329,46.719303,64.497686,30.254572,44.300015,61.845013
SAM vit-B/16 fine-tuned,All,32.342918,42.142592,54.64301,30.577538,39.960377,52.189795
