method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned,aeroplane,36.386768,44.838241,58.742276,35.324447,43.3595,57.328967
SAM vit-B/16 fine-tuned,bicycle,21.417486,28.479048,40.506984,20.717177,27.566001,39.187335
SAM vit-B/16 fine-tuned,bird,49.862006,66.030359,80.312787,49.480125,66.085474,80.259894
SAM vit-B/16 fine-tuned,boat,23.567631,32.043709,45.392794,26.262775,33.767693,45.401178
SAM vit-B/16 fine-tuned,bottle,28.464653,37.807537,50.763002,26.671365,36.302317,49.375981
SAM vit-B/16 fine-tuned,bus,35.506923,40.352836,47.409558,32.935882,37.419776,44.214654
SAM vit-B/16 fine-tuned,car,31.765033,37.138085,46.937639,26.752939,31.869551,42.392664
SAM vit-B/16 fine-tuned,cat,49.870926,60.277509,72.216844,50.575503,60.859991,72.896519
SAM vit-B/16 fine-tuned,chair,22.617744,26.177437,33.242059,20.796454,23.983756,30.550284
SAM vit-B/16 fine-tuned,cow,38.652482,48.674879,63.344532,36.160888,46.771856,60.31325
SAM vit-B/16 fine-tuned,dog,31.632653,43.002915,56.66389,29.699443,40.704864,54.465875
SAM vit-B/16 fine-tuned,horse,32.568027,45.471939,59.332483,30.826206,43.417371,56.742931
SAM vit-B/16 fine-tuned,motorbike,24.30923,33.127572,44.708995,23.973285,32.85556,44.410754
SAM vit-B/16 fine-tuned,person,36.336127,51.419926,64.571695,32.815987,48.084237,62.457655
SAM vit-B/16 fine-tuned,pottedplant,30.380868,43.733392,55.292294,25.280356,36.696083,48.995553
SAM vit-B/16 fine-tuned,sheep,25.421053,36.815789,51.315789,23.279161,32.597996,45.638696
SAM vit-B/16 fine-tuned,train,44.503464,57.147806,73.949192,42.232591,54.865243,71.528139
SAM vit-B/16 fine-tuned,tvmonitor,33.106452,50.108903,66.961612,31.938478,47.863027,64.247293
SAM vit-B/16 fine-tuned,All,33.13164,43.480438,56.203579,31.429059,41.392794,53.911535
