method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned,aeroplane,32.878953,42.14831,55.398037,30.295937,39.110873,52.598721
SAM vit-B/16 fine-tuned,bicycle,17.58924,24.133471,36.006208,17.035392,22.98688,34.315951
SAM vit-B/16 fine-tuned,bird,39.167433,54.162833,69.273229,37.595291,52.683208,67.884074
SAM vit-B/16 fine-tuned,boat,17.86769,24.837566,38.541051,19.583503,25.819314,38.651924
SAM vit-B/16 fine-tuned,bottle,25.490501,35.611959,49.174712,23.476692,33.875707,47.344189
SAM vit-B/16 fine-tuned,bus,34.435016,39.191603,46.694953,31.627371,35.976734,43.789696
SAM vit-B/16 fine-tuned,car,31.430958,36.943207,46.07461,26.376218,31.931509,41.57711
SAM vit-B/16 fine-tuned,cat,51.90384,60.100032,70.40981,52.546235,60.785213,70.981561
SAM vit-B/16 fine-tuned,chair,19.605696,22.426068,29.846659,18.550593,21.123916,28.25207
SAM vit-B/16 fine-tuned,cow,33.445315,43.150429,58.659948,32.328818,41.845185,55.693203
SAM vit-B/16 fine-tuned,dog,31.278634,40.628905,52.72803,28.88549,38.153235,50.301878
SAM vit-B/16 fine-tuned,horse,23.639456,33.971088,48.171769,21.941344,31.710474,45.605732
SAM vit-B/16 fine-tuned,motorbike,18.13639,25.896531,36.59612,17.016291,24.973884,35.662619
SAM vit-B/16 fine-tuned,person,36.801676,50.0,60.591248,34.072947,46.779037,58.04152
SAM vit-B/16 fine-tuned,pottedplant,24.534987,36.713906,47.298494,20.31235,30.467075,41.014483
SAM vit-B/16 fine-tuned,sheep,22.131579,33.078947,46.157895,20.425317,29.436617,41.128507
SAM vit-B/16 fine-tuned,train,44.364896,56.69746,72.355658,41.861262,53.858556,69.727924
SAM vit-B/16 fine-tuned,tvmonitor,30.492785,45.385244,61.884019,28.291487,41.90047,57.864669
SAM vit-B/16 fine-tuned,All,29.733058,39.170976,51.436803,27.901252,36.856549,48.913102
