method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned,aeroplane,34.532897,42.529989,56.288622,33.711315,41.871783,55.820234
SAM vit-B/16 fine-tuned,bicycle,21.857217,27.935851,40.325918,20.972211,26.591608,38.374426
SAM vit-B/16 fine-tuned,bird,46.527139,61.936523,77.207912,46.429682,61.924024,76.98535
SAM vit-B/16 fine-tuned,boat,23.065564,31.216775,44.624926,24.832282,31.940883,44.234217
SAM vit-B/16 fine-tuned,bottle,27.17222,36.437247,50.233572,25.398513,35.302728,49.358511
SAM vit-B/16 fine-tuned,bus,32.916481,37.874051,44.752121,29.23482,34.027826,40.697527
SAM vit-B/16 fine-tuned,car,29.398664,35.746102,45.072383,24.066976,30.013255,39.590681
SAM vit-B/16 fine-tuned,cat,48.93514,59.438529,71.910294,49.589464,60.025274,72.532507
SAM vit-B/16 fine-tuned,chair,23.247536,26.588171,33.817087,21.437227,24.721815,31.342957
SAM vit-B/16 fine-tuned,cow,37.383352,47.443076,61.907428,35.646752,46.663587,59.633349
SAM vit-B/16 fine-tuned,dog,30.445648,42.315702,57.705123,28.743148,40.330203,55.743666
SAM vit-B/16 fine-tuned,horse,30.442177,42.602041,57.079082,28.749043,40.926214,55.013285
SAM vit-B/16 fine-tuned,motorbike,22.07525,32.422105,45.032334,21.547845,31.962251,45.064555
SAM vit-B/16 fine-tuned,person,34.450652,51.443203,65.293296,31.093036,48.064503,63.670041
SAM vit-B/16 fine-tuned,pottedplant,29.406554,43.622675,56.244464,24.897433,36.829034,49.379212
SAM vit-B/16 fine-tuned,sheep,23.763158,35.368421,52.105263,22.023792,31.397894,46.560836
SAM vit-B/16 fine-tuned,train,41.732102,55.91224,73.487298,39.570232,53.821696,71.711706
SAM vit-B/16 fine-tuned,tvmonitor,30.751429,45.521372,63.980397,29.753198,43.901889,61.510573
SAM vit-B/16 fine-tuned,All,31.561288,42.019671,55.39264,29.872054,40.017581,53.179091
