method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned,aeroplane,36.07779,44.183933,56.924755,34.957305,43.284139,56.150045
SAM vit-B/16 fine-tuned,bicycle,21.883083,28.556648,40.351785,20.876207,26.86514,38.002436
SAM vit-B/16 fine-tuned,bird,47.125115,63.293468,76.954922,46.702055,62.839596,76.763043
SAM vit-B/16 fine-tuned,boat,23.036031,30.832841,43.473125,24.976937,31.632241,42.572977
SAM vit-B/16 fine-tuned,bottle,28.635939,38.103395,51.354718,26.601305,36.66881,50.101168
SAM vit-B/16 fine-tuned,bus,35.797231,40.598481,46.895936,32.745254,37.422694,43.196593
SAM vit-B/16 fine-tuned,car,30.902004,37.416481,46.714922,25.894485,31.971051,41.99835
SAM vit-B/16 fine-tuned,cat,49.386899,58.793159,71.329461,50.117162,59.437473,72.039236
SAM vit-B/16 fine-tuned,chair,24.863089,28.148959,35.021906,23.089564,26.263592,32.53354
SAM vit-B/16 fine-tuned,cow,39.063083,49.122807,63.008585,37.359331,47.978695,60.375616
SAM vit-B/16 fine-tuned,dog,30.299875,41.399417,56.143274,28.308406,39.141552,53.90575
SAM vit-B/16 fine-tuned,horse,30.82483,42.495748,55.994898,29.111149,40.276031,53.92611
SAM vit-B/16 fine-tuned,motorbike,23.045267,32.216343,43.680188,22.409838,31.556381,43.228926
SAM vit-B/16 fine-tuned,person,35.56797,52.071695,65.479516,32.853348,49.015736,63.609781
SAM vit-B/16 fine-tuned,pottedplant,31.000886,45.261293,56.798051,26.871847,39.271259,51.078288
SAM vit-B/16 fine-tuned,sheep,23.894737,35.763158,51.394737,21.664895,31.322086,45.318943
SAM vit-B/16 fine-tuned,train,41.13164,54.734411,72.297921,38.847817,52.317432,70.506415
SAM vit-B/16 fine-tuned,tvmonitor,30.914784,45.426082,63.558399,29.871211,43.57396,61.123874
SAM vit-B/16 fine-tuned,All,32.413903,42.689907,55.409839,30.736562,40.602104,53.135061
