


TRAINING TEST
Model,Scheduler,Batch Size,Learning Rate,Weight Decay,Layers,Evaluation Level,PCK@0.05 (%),PCK@0.10 (%),PCK@0.20 (%)
Dinov2 vitb14, None, 5, 1e-4, 1e-2, 2, Keypoint Level, 50.41, 66.08, 76.45
Dinov2 vitb14, None, 5, 1e-4, 1e-2, 2, Image Level,    48.45, 63.74, 74.34

==================================================
PCK PER POINT (Keypoint Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
person          | 62.17    % | 79.12    % | 88.18    %
pottedplant     | 30.00    % | 50.33    % | 68.87    %
sheep           | 45.42    % | 66.97    % | 79.42    %
train           | 47.61    % | 67.25    % | 78.14    %
tvmonitor       | 40.87    % | 59.24    % | 68.50    %
-------------------------------------------------------
OVERALL         | 53.73    % | 69.69    % | 79.72    %
=======================================================

==================================================
PCK PER IMAGE (Image Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20
-------------------------------------------------------
aeroplane       | 72.42    % | 80.77    % | 87.46    %
bicycle         | 55.48    % | 68.78    % | 76.65    %
bird            | 77.74    % | 91.92    % | 97.06    %
boat            | 44.02    % | 62.84    % | 78.38    %
bottle          | 34.23    % | 50.83    % | 63.62    %
bus             | 59.94    % | 71.28    % | 76.75    %
car             | 54.73    % | 67.51    % | 74.44    %
cat             | 68.67    % | 76.80    % | 86.34    %
chair           | 43.31    % | 51.14    % | 58.60    %
cow             | 55.69    % | 76.65    % | 86.89    %
dog             | 57.79    % | 77.90    % | 88.19    %
horse           | 56.79    % | 78.76    % | 89.88    %
motorbike       | 64.08    % | 77.61    % | 86.55    %
person          | 61.58    % | 78.51    % | 87.84    %
pottedplant     | 28.77    % | 48.54    % | 67.21    %
sheep           | 42.18    % | 62.14    % | 75.17    %
train           | 44.82    % | 65.89    % | 77.67    %
tvmonitor       | 39.84    % | 58.85    % | 68.89    %
-------------------------------------------------------
OVERALL         | 52.61    % | 68.55    % | 78.82    %
=======================================================

--------------------------------------------------------------------------------
BEST MODEL WITH HARD ARGMAX
==================================================
PCK PER POINT (Keypoint Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 67.45    % | 78.15    % | 86.71    %
bicycle         | 52.15    % | 68.31    % | 77.55    %
bird            | 72.24    % | 88.27    % | 96.73    %
boat            | 37.21    % | 57.44    % | 75.28    %
bottle          | 33.39    % | 48.13    % | 63.98    %
bus             | 58.35    % | 70.92    % | 77.78    %
car             | 54.32    % | 70.04    % | 77.95    %
cat             | 66.10    % | 74.01    % | 85.00    %
chair           | 42.09    % | 48.99    % | 56.60    %
cow             | 55.34    % | 72.47    % | 85.68    %
dog             | 57.27    % | 74.84    % | 87.86    %
horse           | 55.34    % | 74.85    % | 90.07    %
motorbike       | 58.17    % | 75.19    % | 86.80    %
person          | 56.98    % | 76.54    % | 87.59    %
pottedplant     | 30.87    % | 46.68    % | 66.34    %
sheep           | 42.66    % | 63.55    % | 78.05    %
train           | 47.61    % | 62.29    % | 77.06    %
tvmonitor       | 34.56    % | 55.49    % | 67.67    %
-------------------------------------------------------
OVERALL         | 50.82    % | 66.48    % | 78.82    %
=======================================================

==================================================
PCK PER IMAGE (Image Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 68.59    % | 79.83    % | 87.56    %
bicycle         | 50.85    % | 67.13    % | 75.57    %
bird            | 73.52    % | 89.04    % | 96.95    %
boat            | 40.39    % | 60.74    % | 77.49    %
bottle          | 32.23    % | 47.24    % | 62.84    %
bus             | 57.77    % | 69.24    % | 76.34    %
car             | 50.22    % | 65.51    % | 74.18    %
cat             | 66.21    % | 74.29    % | 85.20    %
chair           | 42.80    % | 49.98    % | 57.66    %
cow             | 54.07    % | 72.16    % | 85.36    %
dog             | 55.47    % | 73.68    % | 87.06    %
horse           | 54.59    % | 73.89    % | 88.43    %
motorbike       | 57.56    % | 74.46    % | 85.85    %
person          | 56.08    % | 75.99    % | 87.02    %
pottedplant     | 29.24    % | 44.93    % | 64.96    %
sheep           | 40.19    % | 59.22    % | 73.74    %
train           | 45.57    % | 60.79    % | 76.68    %
tvmonitor       | 34.08    % | 54.99    % | 68.06    %
-------------------------------------------------------
OVERALL         | 49.76    % | 65.54    % | 77.88    %
=======================================================
--------------------------------------------------------------------------------

Dinov2 vitb14, Yes, 8, 1e-5, 1e-2, 1, Keypoint Level, 52.97, 68.54, 78.83    
Dinov2 vitb14, Yes, 8, 1e-5, 1e-2, 1, Image Level,    51.73, 67.26, 77.84    


==================================================
PCK PER POINT (Keypoint Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 69.43    % | 78.77    % | 86.26    %
bicycle         | 55.35    % | 69.40    % | 78.12    %
bird            | 76.43    % | 90.52    % | 96.44    %
boat            | 39.90    % | 59.78    % | 75.87    %
bottle          | 34.24    % | 50.09    % | 63.61    %
bus             | 61.75    % | 73.69    % | 78.56    %
car             | 58.44    % | 70.77    % | 77.17    %
cat             | 68.47    % | 75.85    % | 85.14    %
chair           | 41.76    % | 49.86    % | 57.53    %
cow             | 57.33    % | 75.79    % | 85.85    %
dog             | 59.02    % | 78.03    % | 87.73    %
horse           | 57.19    % | 77.76    % | 90.35    %
motorbike       | 63.49    % | 76.93    % | 86.63    %
person          | 60.92    % | 77.30    % | 86.48    %
pottedplant     | 29.63    % | 47.98    % | 65.48    %
sheep           | 43.58    % | 64.45    % | 78.55    %
train           | 47.42    % | 66.43    % | 77.88    %
tvmonitor       | 38.81    % | 57.31    % | 67.22    %
-------------------------------------------------------
OVERALL         | 52.97    % | 68.54    % | 78.83    %
=======================================================

==================================================
PCK PER IMAGE (Image Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 70.83    % | 80.19    % | 87.19    %
bicycle         | 54.13    % | 67.99    % | 76.08    %
bird            | 77.40    % | 91.31    % | 96.75    %
boat            | 42.86    % | 62.25    % | 77.50    %
bottle          | 33.09    % | 49.23    % | 62.52    %
bus             | 60.37    % | 71.74    % | 77.24    %
car             | 54.12    % | 66.63    % | 73.56    %
cat             | 68.71    % | 76.10    % | 85.40    %
chair           | 41.36    % | 50.84    % | 58.68    %
cow             | 56.16    % | 75.63    % | 86.07    %
dog             | 57.62    % | 77.34    % | 87.30    %
horse           | 56.50    % | 76.19    % | 88.41    %
motorbike       | 63.31    % | 76.36    % | 85.85    %
person          | 60.31    % | 76.48    % | 85.93    %
pottedplant     | 27.86    % | 44.98    % | 63.73    %
sheep           | 39.15    % | 59.46    % | 73.55    %
train           | 44.96    % | 64.88    % | 77.46    %
tvmonitor       | 37.86    % | 56.76    % | 67.40    %
-------------------------------------------------------
OVERALL         | 51.73    % | 67.26    % | 77.84    %
=======================================================




--------------------------------------------------------------------------------
LoRA
Model,Scheduler,Batch Size,Learning Rate,Weight Decay,Dropout,Evaluation Level,PCK@0.05 (%),PCK@0.10 (%),PCK@0.20 (%)
Dinov2 vitb14, Yes, 5, 1e-4, 1e-2, 0.1, Keypoint Level, 37.9, 56.5, 71.1   
Dinov2 vitb14, Yes, 5, 1e-4, 1e-2, 0.1, Image Level,    35.4, 53.6, 68.3    


==================================================
PCK PER POINT (Keypoint Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 55.14    % | 71.32    % | 82.21    %
bicycle         | 44.80    % | 62.57    % | 76.46    %
bird            | 70.01    % | 87.86    % | 95.52    %
boat            | 17.40    % | 35.00    % | 53.43    %
bottle          | 24.90    % | 44.02    % | 60.71    %
bus             | 35.89    % | 51.99    % | 62.48    %
car             | 33.27    % | 49.22    % | 59.77    %
cat             | 60.75    % | 71.31    % | 81.96    %
chair           | 20.48    % | 36.61    % | 55.04    %
cow             | 50.99    % | 70.87    % | 83.03    %
dog             | 47.81    % | 67.97    % | 81.05    %
horse           | 45.98    % | 70.32    % | 83.48    %
motorbike       | 36.77    % | 58.23    % | 74.81    %
person          | 49.21    % | 68.44    % | 80.40    %
pottedplant     | 12.36    % | 32.77    % | 57.20    %
sheep           | 41.34    % | 63.89    % | 77.95    %
train           | 28.73    % | 52.59    % | 73.12    %
tvmonitor       | 13.49    % | 28.38    % | 44.60    %
-------------------------------------------------------
OVERALL         | 37.90    % | 56.45    % | 71.09    %
=======================================================

==================================================
PCK PER IMAGE (Image Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 53.64    % | 70.69    % | 81.56    %
bicycle         | 41.19    % | 58.78    % | 72.62    %
bird            | 70.15    % | 88.17    % | 95.58    %
boat            | 17.09    % | 34.49    % | 51.72    %
bottle          | 24.03    % | 43.35    % | 60.40    %
bus             | 29.48    % | 42.60    % | 52.26    %
car             | 27.00    % | 40.52    % | 51.86    %
cat             | 61.01    % | 71.55    % | 82.41    %
chair           | 18.59    % | 34.58    % | 52.30    %
cow             | 48.09    % | 69.37    % | 83.36    %
dog             | 45.94    % | 66.51    % | 80.42    %
horse           | 44.23    % | 68.10    % | 81.34    %
